"Nr";"Restaurant";"Kategorier";"Wolt URL";"Address";"Phone Number";"Contact Source";"Note"
"1";"La Luna";"pizza";"https://wolt.com/en/dnk/copenhagen/restaurant/la-luna-osterbro";"Haraldsgade 54, 2100 København";"+45 39 27 47 46";"Google Places";""
"2";"Stations Café og Pizza Farum";"pizza, kebab";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/stations-caf-og-pizza-farum";"Farum Stationstorv 25, 3520 Farum";"+45 44 95 44 56";"Google Places";""
"3";"Jernbane Pizza Durum Kebab";"pizza, kebab";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/jernbane-pizza-durum-kebab";"Jernbanepladsen 33, 2800 Kongens Lyngby";"+45 45 93 45 45";"Google Places";""
"4";"Gourmet Pizza";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/gourmet-pizzabirk";"Nørrevang 2, 3460 Birkerød";"+45 45 81 88 07";"Google Places";""
"5";"Pizza & Burger House - Farum Bytorv";"pizza, kebab";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/pizza-burger-house-farum";"Farum Bytorv 47, 3520 Farum";"+45 44 95 41 47";"Google Places";""
"6";"Ella Pizza Bistrupvej";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ella-pizza-bistrupvej";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"7";"La Qualita";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/la-qualita";"Bistrupvej 32, 3460 Birkerød";"+45 45 67 07 50";"Google Places";""
"8";"Le Grill";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/le-grill-holte";"Holte Midtpunkt 20, 2840 Holte";"+45 45 42 43 45";"Google Places";""
"9";"Sten & Kul";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/sten-og-kul";"Hovedgaden 12A, 2970 Hørsholm";"+45 42 40 89 89";"Google Places";""
"10";"Farum Pizza OCAKBASI";"pizza, kebab";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/farum-pizza";"Farum Hovedgade 85, 3520 Farum";"+45 44 99 44 47";"Google Places";""
"11";"Roma Pizzaria & Grill Bar";"pizza";"https://wolt.com/en/dnk/alleroed/restaurant/roma-pizzaria-grill-bar";"Frederiksborgvej 10, 3450 Lillerød";"+45 48 17 33 83";"Google Places";""
"12";"OTTO Pizza Lyngby";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/otto-lyngby";"Klampenborgvej 215E, 2800 Kongens Lyngby";"Not publicly listed";"Google Places";""
"13";"Gastronomia Italiana Virum";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/gastronomia-italiana-virum";"Frederiksdalsvej 137, 2830 Virum";"+45 60 16 47 45";"Google Places";""
"14";"Virum Pizza";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/virum-pizza";"Geels Pl. 8, 2830 Virum";"+45 45 85 58 04";"Google Places";""
"15";"Byens Cafe & Pizzahouse";"pizza";"https://wolt.com/en/dnk/alleroed/restaurant/byens-cafe-pizzahouse";"M D Madsensvej 4, 3450 Lillerød";"+45 48 14 08 07";"Google Places";""
"16";"Pizze Dei Fratelli";"pizza, sandwich, italian";"https://wolt.com/en/dnk/copenhagen/restaurant/pizze-dei-fratelli";"Bymidten 3, 3500 Værløse";"+45 40 13 11 57";"Google Places";""
"17";"Gastronomia Costa Smeralda";"pizza, italian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/gastronomia-costa-smeralda-farum";"Akacietorvet 11, 3520 Farum";"+45 44 95 10 00";"Google Places";""
"18";"Pizze Di Napo";"pizza, italian";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/pizze-di-napo2950";"Vedbæk Stationsvej 14, 2950 Vedbæk";"+45 35 10 19 19";"Google Places";""
"19";"Cantinos Pizzabar";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/cantinos-pizzabar";"Højengen 20, 2980 Kokkedal";"+45 49 18 18 11";"Google Places";""
"20";"Calaboni Pizza";"pizza, kebab";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/calaboni-pizza";"Usserød Kongevej 34, 2970 Hørsholm";"+45 31 90 44 42";"Google Places";""
"21";"Canaria Pizza og Glutenfri";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/canaria-pizza";"Nybrovej 264, 2800 Gladsaxe";"+45 45 87 02 21";"Google Places";""
"22";"Kongens Pizza & Kebab";"pizza, sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/kongens-pizzaa-kebab";"Bagsværdvej 66, 2800 Kongens Lyngby";"+45 45 87 06 58";"Google Places";""
"23";"Nybrogård Pizzaria";"pizza, sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/nybrogrd-pizzaria";"Nybrovej 304, 2800 Kongens Lyngby";"+45 51 14 12 19";"Google Places";""
"24";"Halal Pizza og Kebab";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/halal-istanbul-nybrovej";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";"no reliable match (query returned Canaria Pizza, a different venue)"
"25";"Cantino's Pizza Nærum";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/cantinos-pizza-nrum-66";"Nærum Hovedgade 66, 2850 Nærum";"+45 45 80 63 50";"Google Places";""
"26";"Trattoria Luca";"pizza, dessert, italian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/trattoria-luca-lyngby";"Gammel Jernbanevej 20, 2800 Kongens Lyngby";"+45 92 15 69 69";"Google Places";""
"27";"La Luna Hørsholm";"pizza, kebab";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/la-luna-hrsholm";"Hovedgaden 55D, 2970 Hørsholm";"+45 45 76 99 00";"Google Places";""
"28";"Pizze Pomodoro";"pizza, italian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/pizze-pomodoro-virum";"Sorgenfri Torv 15, 2830 Sorgenfri";"+45 51 55 85 85";"Google Places";""
"29";"Ristorante Atlantico";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ristorante-atlantico";"Bymidten 11, 3500 Værløse";"+45 44 47 17 27";"Google Places";""
