"Nr";"Restaurant";"Kategorier";"Wolt URL";"Address";"Phone Number";"Contact Source";"Note"
"1";"Frederiksværk Shawarma Pizza";"pizza, kebab";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/frederiksvrk-shawarma-pizzaria";"Nørregade 16, 3300 Frederiksværk";"+45 47 76 13 17";"Google Places";""
"2";"Chicken & Burger Pizzaria";"pizza, kebab, sandwich";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/chicken-burger-pizzaria";"Nørregade 30, 3300 Frederiksværk";"+45 47 72 45 75";"Google Places";""
"3";"Gastronomia - Brændefyret Stenovnspizza";"pizza, sandwich";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/gastronomia-brndefyret-stenovspizza";"Hillerødvej 38A, 3300 Frederiksværk";"+45 40 40 41 83";"Google Places";""
"4";"Portofino Helsinge";"pizza, kebab";"https://wolt.com/en/dnk/hilleroed/restaurant/portofino-helsinge";"Frederiksborgvej 17, 3200 Helsinge";"+45 48 79 80 81";"Google Places";""
"5";"Arden's Pizza";"pizza";"https://wolt.com/en/dnk/hilleroed/restaurant/ardens-pizza";"Byvej 19, 3320 Skævinge";"+45 25 39 39 41";"Google Places";"in Skævinge, not Helsinge as the Wolt region suggests"
"6";"Ristorante Bellona";"pizza, italian";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/ritorante-bellona-frederiksvaerk";"Nørregade 19, 3390 Hundested";"+45 47 92 42 42";"Google Places";"in Hundested, not Frederiksværk town"
"7";"Restaurant Bella Luna";"pizza, kebab";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/restaurant-bella-luna";"Nyvej 16, 3360 Liseleje";"+45 47 76 33 22";"Google Places";"in Liseleje, not Frederiksværk town"
"8";"Pizze di Favolosa";"pizza";"https://wolt.com/en/dnk/hilleroed/restaurant/pizze-di-favolosa";"Østergade 1B, 3200 Helsinge";"+45 88 71 08 00";"Google Places";""
"9";"Lynæs Madbar";"pizza, italian";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/lyns-madbar";"Lynæs Havnevej 3D, 3390 Hundested";"+45 30 20 91 14";"Google Places";""
"10";"Kawasaki Sushi Frederiksværk";"sushi";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/kawasaki-sushi-frederiksvrk";"Nørregade 29D, 3300 Frederiksværk";"+45 55 27 11 11";"Google Places";""
"11";"Susuki Sushi Restaurant";"sushi";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/susuki-sushi-restaurant";"Torvet 4, 3300 Frederiksværk";"+45 52 68 68 42";"Google Places";""
"12";"Hotel Frederiksværk";"cafe";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/hotel-frederiksvrk";"Torvet 6, 3300 Frederiksværk";"+45 47 72 22 88";"Google Places";""
"13";"LD CORNER";"american";"https://wolt.com/en/dnk/frederiksvaerk/restaurant/ld-corner";"K. A. Larssensgade 7, 3300 Frederiksværk";"Not publicly listed";"Google Places";"no phone in Places; recent review reports reduced hours and food running out early - confirm still trading"
